t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z
 1687176614.350605	1687187185.925328	7.401719	-21.884973	-0.838544	0.237006	0.237444	0.213101	-0.016309	-0.022832	0.559454	0.221528	0.214562	0.218071	
 1687176614.654654	1687187186.236696	7.313352	-21.519437	-0.852218	0.261798	0.271207	0.240792	0.008080	-0.003695	0.500485	0.231302	0.214873	0.217409	
 1687176614.959275	1687187186.547915	7.235774	-21.285115	-0.824509	0.232040	0.230686	0.209396	-0.023650	-0.003482	0.409864	0.218264	0.210723	0.211967	
 1687176615.262762	1687187186.856055	7.198269	-20.874951	-0.843586	0.258367	0.242423	0.224184	-0.017391	0.012933	0.328316	0.228689	0.213849	0.216980	
 1687176615.567797	1687187187.162369	7.233375	-20.434652	-0.849398	0.237497	0.239718	0.236510	0.006818	0.040193	0.375166	0.226903	0.215083	0.214311	
 1687176615.871257	1687187187.458476	7.416357	-20.419122	-0.842894	0.246949	0.248235	0.304364	0.003080	0.040663	0.424321	0.232370	0.238388	0.215952	
 1687176616.196820	1687187187.785055	7.660558	-21.027524	-0.846604	0.313564	0.264454	0.273578	-0.007026	0.034872	0.447262	0.301163	0.323244	0.222730	
 1687176616.501227	1687187188.081264	7.914045	-21.991275	-0.831629	0.310122	0.249065	0.226295	-0.011345	0.037966	0.454156	0.340125	0.347090	0.212843	
 1687176616.808104	1687187188.389290	8.093178	-22.411159	-0.832720	0.292197	0.245915	0.226337	-0.018101	0.038356	0.456171	0.403101	0.438614	0.213668	
 1687176617.113904	1687187188.706143	8.208130	-22.669628	-0.837379	0.234444	0.241208	0.226365	-0.012424	0.025346	0.454982	0.416451	0.572587	0.212111	
 1687176617.420766	1687187189.011634	7.914305	-21.982845	-0.841098	0.265358	0.263719	0.239137	-0.005798	0.017989	0.463683	0.307183	0.440975	0.217344	
 1687176617.725412	1687187189.317343	7.966677	-22.147989	-0.836890	0.475563	0.243442	0.211964	-0.001970	0.010249	0.455956	0.239403	0.327516	0.213450	
 1687176618.029098	1687187189.613116	8.020684	-22.247917	-0.839920	0.231913	0.231525	0.209637	-0.008534	0.012244	0.419471	0.218482	0.255649	0.210529	
 1687176618.333392	1687187189.932080	8.069514	-22.340674	-0.843400	0.238109	0.238011	0.213757	-0.002189	0.016155	0.393658	0.262836	0.296101	0.217684	
 1687176618.636742	1687187190.219446	8.111951	-22.418393	-0.834852	0.235432	0.235347	0.211923	-0.004182	0.012072	0.386869	0.223423	0.326342	0.216956	
 1687176618.941279	1687187190.527242	8.150961	-22.480770	-0.815837	0.234440	0.234359	0.211496	-0.011493	0.006382	0.390372	0.228904	0.282110	0.216632	
 1687176619.247370	1687187190.857327	8.187331	-22.526911	-0.811771	0.233738	0.233659	0.210685	-0.008537	0.011573	0.404147	0.271864	0.234660	0.216378	
 1687176619.555211	1687187191.159600	8.246082	-22.578269	-0.825451	0.233525	0.233496	0.210369	0.009900	0.010478	0.407113	0.249568	0.270783	0.215598	
 1687176619.859230	1687187191.448360	8.345371	-22.681014	-0.833764	0.238362	0.238359	0.213332	0.009236	0.008874	0.403734	0.247393	0.246750	0.219132	
 1687176620.164606	1687187191.749310	8.426196	-22.776121	-0.831191	0.234800	0.234789	0.211661	-0.001666	0.009588	0.424026	0.240097	0.233851	0.217211	
 1687176620.469646	1687187192.064694	8.506355	-22.899122	-0.840123	0.235303	0.235184	0.211510	0.011943	0.010193	0.475447	0.215840	0.236366	0.217096	
 1687176620.778293	1687187192.347142	8.575192	-22.981078	-0.839102	0.237374	0.237324	0.213272	0.000377	0.012665	0.471651	0.248417	0.235628	0.218322	
 1687176621.082516	1687187192.667289	8.663136	-23.043985	-0.836252	0.237430	0.237420	0.213122	0.011160	-0.002840	0.436430	0.215769	0.253710	0.218067	
 1687176621.389743	1687187192.992997	8.760600	-23.107743	-0.834447	0.235711	0.235741	0.212063	0.013870	-0.005825	0.420197	0.248023	0.216672	0.217473	
 1687176621.693787	1687187193.284103	8.867852	-23.185237	-0.827468	0.236675	0.236637	0.212826	0.004022	-0.008963	0.426967	0.266312	0.224976	0.218497	
 1687176621.998562	1687187193.591568	8.969677	-23.307697	-0.835468	0.233066	0.232941	0.210453	-0.007420	-0.007439	0.455337	0.217141	0.227511	0.215882	
 1687176622.303096	1687187193.892480	9.045696	-23.373250	-0.846951	0.235411	0.235022	0.211702	-0.009418	-0.001565	0.495944	0.222468	0.220750	0.216353	
 1687176622.609622	1687187194.209145	9.129317	-23.422088	-0.841924	0.236661	0.236405	0.212221	-0.009289	-0.003365	0.456967	0.226770	0.213720	0.217161	
 1687176622.912682	1687187194.493061	9.225258	-23.465096	-0.829976	0.235634	0.235618	0.212074	-0.002957	-0.012703	0.427913	0.226681	0.214590	0.217561	
 1687176623.216837	1687187194.833362	9.318109	-23.512283	-0.827781	0.233585	0.233464	0.211051	-0.007778	-0.015024	0.427625	0.214169	0.227055	0.216805	
 1687176623.520028	1687187195.111227	9.413478	-23.528403	-0.852915	0.230537	0.230351	0.208899	-0.008245	-0.019283	0.452605	0.215786	0.228373	0.213954	
 1687176623.822906	1687187195.398306	9.497108	-23.557407	-0.868716	0.230617	0.230423	0.208202	-0.013785	-0.004709	0.445344	0.215215	0.237738	0.213290	
 1687176624.126058	1687187195.698411	9.582218	-23.596909	-0.866714	0.233564	0.233292	0.210385	-0.009199	-0.004343	0.440998	0.230471	0.212573	0.215327	
