t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z	qx	qy	qz	qw
 1687529209.718762	1687529209.649873	16.080962	-19.674438	-0.974105	0.285877	0.285407	0.240738	-0.029409	-0.064596	0.994870	0.323574	0.647419	0.245881	0.035389	-0.002492	-0.477290	0.878030	
 1687529210.122157	1687529210.052060	16.061650	-19.687017	-0.986220	0.302619	0.302188	0.247555	-0.026103	-0.059091	1.005473	0.331851	0.658519	0.253214	0.032170	-0.002801	-0.481912	0.875625	
 1687529210.528296	1687529210.456042	16.075396	-19.756791	-0.990634	0.298125	0.297267	0.245972	-0.035004	-0.055423	1.034979	0.324932	0.644549	0.251881	0.032731	0.001499	-0.494856	0.868357	
 1687529210.932103	1687529210.860872	16.143619	-19.441571	-0.985003	0.299559	0.300677	0.247525	-0.018661	-0.042125	1.070229	0.337940	0.473999	0.252202	0.022873	-0.002715	-0.509973	0.859882	
 1687529211.335002	1687529211.263989	16.138203	-19.643338	-0.986680	0.304466	0.331875	0.265895	-0.002869	-0.047082	0.911119	0.254875	0.284390	0.251149	0.021769	-0.009068	-0.439873	0.897750	
 1687529211.740855	1687529211.667834	16.143657	-19.725834	-0.981622	0.306562	0.298414	0.247632	-0.022322	-0.042463	0.964332	0.247817	0.324954	0.249767	0.023983	0.000042	-0.463776	0.885628	
 1687529212.145716	1687529212.070782	16.180505	-19.478690	-0.966648	0.294124	0.294481	0.245307	-0.013793	-0.035173	1.059220	0.267558	0.317421	0.247340	0.018660	-0.002933	-0.505211	0.862789	
 1687529212.551944	1687529212.473937	16.109117	-19.205745	-0.968104	0.297242	0.321369	0.267635	0.021100	-0.037691	0.914831	0.251858	0.277351	0.249937	0.012248	-0.017785	-0.441349	0.897075	
 1687529212.962426	1687529212.876593	15.812904	-19.099249	-0.952152	0.300594	0.287606	0.290463	0.018804	-0.032586	0.866496	0.251095	0.286486	0.245230	0.010840	-0.015371	-0.419607	0.907511	
 1687529213.366481	1687529213.280205	15.719845	-19.270197	-0.949026	0.336520	0.310047	0.346980	0.019924	-0.035217	0.777517	0.272332	0.305218	0.250756	0.012517	-0.015891	-0.378800	0.925257	
 1687529213.773807	1687529213.683321	15.818960	-19.439281	-0.949834	0.323517	0.337507	0.344107	-0.011589	-0.047296	0.779918	0.316993	0.421014	0.249260	0.024072	-0.003631	-0.380165	0.924598	
 1687529214.180483	1687529214.087017	15.834276	-19.622729	-0.960176	0.299480	0.335623	0.338939	-0.011009	-0.069540	0.838221	0.253809	0.608919	0.249046	0.033993	-0.009121	-0.406871	0.912807	
 1687529214.584572	1687529214.530197	15.949324	-19.673952	-0.946597	0.300242	0.309518	0.298560	-0.018072	-0.060003	0.925216	0.251389	0.949812	0.250928	0.030874	-0.005304	-0.446307	0.894331	
 1687529214.988396	1687529214.933320	16.020353	-19.855959	-0.961954	0.296862	0.297667	0.249907	-0.027857	-0.069542	0.809830	0.272937	1.059753	0.251092	0.037433	-0.000900	-0.394109	0.918300	
 1687529215.392277	1687529215.337722	16.026002	-20.089792	-0.987014	0.291399	0.292438	0.243137	-0.024413	-0.063737	1.002993	0.309947	1.214235	0.247782	0.033803	-0.004619	-0.480799	0.876167	
 1687529215.796893	1687529215.739802	16.076436	-20.248675	-0.991157	0.291922	0.292487	0.242855	-0.019832	-0.065171	1.122625	0.325300	1.287362	0.248563	0.032855	-0.008951	-0.532263	0.845894	
 1687529216.201311	1687529216.143284	16.124776	-20.418302	-0.991926	0.292749	0.292885	0.243976	-0.043780	-0.091589	1.123600	0.308375	1.245820	0.249751	0.050381	-0.005876	-0.532872	0.844674	
 1687529216.604707	1687529216.546326	16.158345	-20.619523	-1.014949	0.297836	0.298104	0.245732	-0.021019	-0.079881	1.092503	0.482069	1.695374	0.252337	0.039572	-0.011769	-0.519403	0.853531	
 1687529217.011493	1687529216.948285	16.199170	-20.767264	-1.022521	0.297470	0.297393	0.245317	-0.038576	-0.091765	1.111787	0.319159	1.676917	0.252077	0.049120	-0.007834	-0.527801	0.847911	
 1687529217.416013	1687529217.351668	16.259904	-20.963081	-1.018454	0.295259	0.295360	0.244644	-0.025644	-0.104278	1.064874	0.433043	1.611578	0.251466	0.051397	-0.015422	-0.507479	0.859992	
 1687529217.819598	1687529217.755334	16.319952	-21.139669	-1.020421	0.291124	0.291163	0.242629	-0.024138	-0.106407	1.063356	0.316911	1.715589	0.249701	0.051944	-0.016571	-0.506780	0.860350	
 1687529218.227284	1687529218.159883	16.382609	-21.254282	-1.024525	0.287045	0.286964	0.241102	-0.045217	-0.114590	1.056758	0.310603	1.798490	0.247844	0.060820	-0.009370	-0.504296	0.861335	
 1687529218.632376	1687529218.563029	16.418650	-21.361992	-1.050692	0.298221	0.297735	0.246723	-0.035829	-0.104366	1.038999	0.397294	1.328589	0.252580	0.054151	-0.010361	-0.496502	0.866283	
 1687529219.039433	1687529218.970490	16.441454	-21.417392	-1.071819	0.299502	0.299037	0.246307	-0.040458	-0.100987	1.037805	0.369200	1.387282	0.252830	0.053838	-0.007483	-0.496081	0.866573	
 1687529219.448574	1687529219.374836	16.482482	-21.498842	-1.080397	0.294362	0.293954	0.243932	-0.029065	-0.111592	1.053646	0.398233	1.282243	0.250515	0.055496	-0.015494	-0.502655	0.862565	
 1687529219.856260	1687529219.777951	16.521243	-21.590499	-1.069539	0.296220	0.296093	0.244959	-0.035502	-0.114859	1.020755	0.328967	1.460895	0.251894	0.058732	-0.012572	-0.488513	0.870487	
 1687529220.262711	1687529220.179961	16.585721	-21.639192	-1.080444	0.304246	0.304123	0.248590	-0.028038	-0.117325	1.039620	0.374737	1.585449	0.255703	0.057831	-0.016973	-0.496525	0.865927	
 1687529220.666126	1687529220.642764	16.647693	-21.707762	-1.087665	0.300955	0.300633	0.247207	-0.044768	-0.102976	1.032482	0.328323	1.584274	0.254082	0.055780	-0.005958	-0.493839	0.867742	
 1687529221.072318	1687529221.046818	16.709715	-21.786869	-1.100024	0.292547	0.291582	0.243834	-0.045333	-0.099972	1.059479	0.438482	1.294074	0.250299	0.054544	-0.005708	-0.505525	0.861067	
 1687529221.476141	1687529221.449978	16.771826	-21.834006	-1.110237	0.299511	0.298390	0.246352	-0.043465	-0.097852	1.063516	0.451668	1.237765	0.252823	0.053149	-0.006084	-0.507239	0.860143	
 1687529221.885760	1687529221.852416	16.827975	-21.896690	-1.098125	0.294319	0.293142	0.244528	-0.044516	-0.099410	1.041525	0.400224	0.983150	0.250459	0.054148	-0.005432	-0.497763	0.865604	
 1687529222.291617	1687529222.259005	16.883221	-21.939893	-1.084856	0.300226	0.299085	0.247085	-0.044912	-0.102575	1.045178	0.424653	1.072090	0.253470	0.055604	-0.006150	-0.499341	0.864598	
 1687529222.695083	1687529222.667549	16.946487	-21.989593	-1.081892	0.300507	0.299348	0.247850	-0.049061	-0.099024	1.033347	0.405585	0.981514	0.253867	0.055120	-0.003141	-0.494292	0.867541	
 1687529223.102947	1687529223.070611	17.004260	-22.028489	-1.094373	0.292580	0.291959	0.243585	-0.043976	-0.090078	1.042475	0.424402	0.902268	0.250010	0.049972	-0.003367	-0.498187	0.865622	
