t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z	qx	qy	qz	qw
 1687526350.723639	1687526350.704904	13.518637	-24.311287	-0.911408	0.296433	0.297002	0.245553	-0.051098	-0.003277	2.268566	0.269574	0.247788	0.252696	-0.023843	-0.009316	0.905952	-0.422606	
 1687526351.132356	1687526351.109244	13.488453	-24.326385	-0.919695	0.297491	0.297689	0.245619	-0.049406	0.002454	2.209223	0.366071	0.251247	0.253107	-0.021514	-0.012198	0.893003	-0.449371	
 1687526351.437500	1687526351.412057	13.465344	-24.335287	-0.913061	0.238229	0.238306	0.213674	-0.071240	0.003976	2.151588	0.314162	0.215259	0.219581	-0.030394	-0.018665	0.879374	-0.474794	
 1687526351.842354	1687526351.815701	13.453773	-24.346674	-0.921193	0.294379	0.294427	0.243613	-0.038708	-0.001374	2.172158	0.443529	0.245606	0.250874	-0.017443	-0.008410	0.884647	-0.465859	
 1687526352.247995	1687526352.220995	13.445353	-24.361600	-0.927273	0.292224	0.292687	0.243457	-0.050857	0.023709	2.147110	0.317218	0.246150	0.250629	-0.016692	-0.022543	0.878412	-0.477080	
 1687526352.653005	1687526352.627834	13.424322	-24.370107	-0.945474	0.296229	0.296421	0.245106	-0.026845	0.020785	2.145223	0.343589	0.264528	0.252208	-0.006825	-0.015541	0.878258	-0.477886	
 1687526353.061827	1687526353.030898	13.423423	-24.388101	-0.934391	0.295792	0.296026	0.245549	-0.115326	-0.011871	2.081576	0.277359	0.265363	0.252500	0.052719	0.024022	-0.861527	0.504396	
 1687526353.468310	1687526353.433162	13.444909	-24.424559	-0.967877	0.296609	0.296959	0.245455	-0.031173	-0.005489	2.084715	0.698585	0.259367	0.252342	0.014843	0.005488	-0.863509	0.504085	
 1687526353.874294	1687526353.837820	13.455839	-24.482206	-0.962507	0.293566	0.294354	0.244612	-0.077576	0.017494	2.022907	0.294564	0.247500	0.251266	0.028230	0.027984	-0.846754	0.530497	
 1687526354.279126	1687526354.241168	13.475590	-24.530755	-0.970947	0.296778	0.296973	0.245721	-0.045577	-0.002832	2.005014	0.504043	0.256832	0.252978	0.019967	0.011070	-0.842620	0.538024	
 1687526354.682963	1687526354.645299	13.485087	-24.606255	-0.991751	0.298973	0.299352	0.246236	-0.022278	0.001116	1.964996	0.341492	0.248168	0.253474	0.008957	0.006646	-0.831831	0.554917	
 1687526355.090659	1687526355.050040	13.493064	-24.680755	-0.997926	0.297476	0.298018	0.245592	-0.027906	-0.002178	1.951019	0.269982	0.246808	0.252699	0.012163	0.006922	-0.827915	0.560679	
 1687526355.497271	1687526355.453986	13.509645	-24.720841	-0.991916	0.299259	0.299663	0.246516	-0.040546	-0.004611	1.954539	0.285435	0.248385	0.253828	0.018094	0.009427	-0.828827	0.559133	
 1687526355.900775	1687526355.863746	13.520660	-24.791135	-0.993865	0.297348	0.297523	0.245239	-0.035236	-0.009924	1.946158	0.317932	0.247850	0.252711	0.017355	0.005813	-0.826533	0.562590	
 1687526356.307014	1687526356.267914	13.525035	-24.859490	-0.984602	0.292121	0.292290	0.242792	-0.049376	-0.011815	1.910447	0.297560	0.248121	0.250117	0.023564	0.009432	-0.816264	0.577121	
 1687526356.710917	1687526356.671043	13.534059	-24.902108	-0.980427	0.302641	0.302754	0.247197	-0.058591	-0.011840	1.870106	0.355137	0.253502	0.254643	0.027082	0.012631	-0.804374	0.593371	
 1687526357.116167	1687526357.078794	13.541762	-24.949098	-0.974517	0.297632	0.297680	0.245036	-0.046948	-0.014893	1.845926	0.391921	0.250571	0.252510	0.023208	0.008228	-0.797257	0.603138	
 1687526357.523120	1687526357.482840	13.564075	-24.972538	-0.966180	0.297412	0.297520	0.245527	-0.042545	-0.018776	1.840815	0.348247	0.253731	0.253044	0.022610	0.005409	-0.795754	0.605173	
 1687526357.929700	1687526357.887524	13.572101	-25.002739	-0.973953	0.301182	0.301364	0.247124	-0.034540	-0.011753	1.846494	0.328006	0.257939	0.254594	0.017317	0.005731	-0.797493	0.603052	
 1687526358.234607	1687526358.190466	13.585231	-25.011354	-0.977297	0.241478	0.241592	0.215461	-0.036774	-0.026282	1.852433	0.269265	0.219881	0.221452	0.022590	0.000544	-0.799293	0.600516	
 1687526358.544774	1687526358.492406	13.582397	-25.009234	-0.967216	0.239551	0.239625	0.213868	-0.048262	-0.025544	1.801115	0.275118	0.233623	0.219893	0.026839	0.004981	-0.783573	0.620700	
 1687526358.948191	1687526358.896865	13.569272	-25.026146	-0.959360	0.295068	0.295129	0.243336	-0.021045	-0.013231	1.726194	0.369440	0.263877	0.250631	0.012296	0.001814	-0.759846	0.649984	
 1687526359.351383	1687526359.328461	13.568780	-25.043160	-0.944932	0.284662	0.284999	0.239507	-0.041034	-0.026082	1.716475	0.265010	0.245908	0.246473	0.024046	0.003546	-0.756643	0.653377	
 1687526359.755318	1687526359.734066	13.565268	-25.029507	-0.935159	0.292955	0.293003	0.243499	-0.049479	-0.033724	1.658630	0.344477	0.266293	0.250795	0.029624	0.004274	-0.737420	0.674771	
