t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z	qx	qy	qz	qw
 1687525545.777255	1687525545.739852	28.688017	-24.008365	-1.035035	0.292683	0.292647	0.242384	-0.039425	-0.047036	1.031229	0.278612	0.352813	0.249553	0.030171	0.005551	-0.493241	0.869352
 1687525546.080608	1687525546.042171	28.752514	-24.105840	-1.037887	0.237037	0.237029	0.212901	-0.033934	-0.050899	1.023693	0.298264	0.310569	0.219409	0.030490	0.002325	-0.489935	0.871222
 1687525546.391521	1687525546.344938	28.810039	-24.188597	-1.052756	0.236039	0.236017	0.212075	-0.025894	-0.046400	1.035387	0.282588	0.330066	0.218244	0.026561	-0.000232	-0.494963	0.868508
 1687525546.697446	1687525546.647740	28.861431	-24.279058	-1.059194	0.233421	0.233421	0.210205	-0.028595	-0.043964	1.032965	0.256130	0.310955	0.216099	0.026170	0.001576	-0.493928	0.869107
 1687525547.004775	1687525546.949965	28.904832	-24.366063	-1.060996	0.238163	0.238088	0.213253	-0.033518	-0.041989	1.035412	0.267086	0.304857	0.219208	0.026531	0.004171	-0.495015	0.868469
 1687525547.312210	1687525547.251720	28.952240	-24.466293	-1.056538	0.237987	0.237874	0.213205	-0.041253	-0.043689	1.031481	0.281399	0.296111	0.219265	0.029167	0.007168	-0.493348	0.869313
 1687525547.619947	1687525547.559986	28.999609	-24.535003	-1.062787	0.237599	0.237488	0.213243	-0.041841	-0.052702	1.027387	0.317388	0.309903	0.219254	0.033218	0.005268	-0.491599	0.870172
 1687525547.928854	1687525547.865166	29.047015	-24.605268	-1.073593	0.236556	0.236530	0.212173	-0.040078	-0.050896	1.018546	0.316973	0.341426	0.218068	0.031978	0.005086	-0.487732	0.872393
 1687525548.235137	1687525548.168949	29.093778	-24.682677	-1.078286	0.239199	0.239181	0.213748	-0.038711	-0.043941	1.005994	0.310261	0.334036	0.219933	0.028572	0.006365	-0.482220	0.875561
 1687525548.638826	1687525548.571260	29.147577	-24.782029	-1.066774	0.292199	0.292026	0.242137	-0.052728	-0.048155	1.000975	0.346215	0.350857	0.249440	0.033761	0.011573	-0.480104	0.876485
